 axis     ma
 500.00   0.166267553546E-01
 500.36   0.166395593318E-01
 500.72   0.166523792520E-01
 501.08   0.166652151424E-01
 501.44   0.166780670301E-01
 501.80   0.166909349426E-01
 502.16   0.167038189070E-01
 502.52   0.167167189510E-01
 502.88   0.167296351018E-01
 503.24   0.167425673871E-01
 503.60   0.167555158344E-01
 503.96   0.167684804714E-01
 504.32   0.167814613258E-01
 504.68   0.167944584253E-01
 505.04   0.168074717978E-01
 505.40   0.168205014711E-01
 505.76   0.168335474733E-01
 506.12   0.168466098323E-01
 506.48   0.168596885762E-01
 506.84   0.168727837331E-01
 507.20   0.168858953312E-01
 507.56   0.168990233987E-01
 507.92   0.169121679640E-01
 508.28   0.169253290554E-01
 508.64   0.169385067014E-01
 509.00   0.169517009305E-01
 509.36   0.169649117712E-01
 509.72   0.169781392521E-01
 510.08   0.169913834020E-01
 510.44   0.170046442495E-01
 510.80   0.170179218236E-01
 511.16   0.170312161529E-01
 511.52   0.170445272665E-01
 511.88   0.170578551935E-01
 512.24   0.170711999627E-01
 512.60   0.170845616034E-01
 512.96   0.170979401447E-01
 513.32   0.171113356159E-01
 513.68   0.171247480464E-01
 514.04   0.171381774654E-01
 514.40   0.171516239024E-01
 514.76   0.171650873869E-01
 515.12   0.171785679485E-01
 515.48   0.171920656169E-01
 515.84   0.172055804217E-01
 516.20   0.172191123926E-01
 516.56   0.172326615596E-01
 516.92   0.172462279525E-01
 517.28   0.172598116013E-01
 517.64   0.172734125360E-01
 518.00   0.172870307866E-01
 518.36   0.173006663834E-01
 518.72   0.173143193566E-01
 519.08   0.173279897365E-01
 519.44   0.173416775533E-01
 519.80   0.173553828376E-01
 520.16   0.173691056199E-01
 520.52   0.173828459306E-01
 520.88   0.173966038005E-01
 521.24   0.174103792601E-01
 521.60   0.174241723403E-01
 521.96   0.174379830719E-01
 522.32   0.174518114858E-01
 522.68   0.174656576130E-01
 523.04   0.174795214845E-01
 523.40   0.174934031313E-01
 523.76   0.175073025847E-01
 524.12   0.175212198759E-01
