axis	ma      
500	    1.66E-02
500.36	1.66E-02
500.72	1.67E-02
501.08	1.67E-02
501.44	1.67E-02
501.8	1.67E-02
502.16	1.67E-02
502.52	1.67E-02
502.88	1.67E-02
503.24	1.67E-02
503.6	1.68E-02
503.96	1.68E-02
504.32	1.68E-02
504.68	1.68E-02
505.04	1.68E-02
505.4	1.68E-02
505.76	1.68E-02
506.12	1.68E-02
506.48	1.69E-02
506.84	1.69E-02
507.2	1.69E-02
507.56	1.69E-02
507.92	1.69E-02
508.28	1.69E-02
508.64	1.69E-02
509	1.70E-02
509.36	1.70E-02
509.72	1.70E-02
510.08	1.70E-02
510.44	1.70E-02
510.8	1.70E-02
511.16	1.70E-02
511.52	1.70E-02
511.88	1.71E-02
512.24	1.71E-02
512.6	1.71E-02
512.96	1.71E-02
513.32	1.71E-02
513.68	1.71E-02
514.04	1.71E-02
514.4	1.72E-02
514.76	1.72E-02
515.12	1.72E-02
515.48	1.72E-02
515.84	1.72E-02
516.2	1.72E-02
516.56	1.72E-02
516.92	1.72E-02
517.28	1.73E-02
517.64	1.73E-02
518	1.73E-02
518.36	1.73E-02
518.72	1.73E-02
519.08	1.73E-02
519.44	1.73E-02
519.8	1.74E-02
520.16	1.74E-02
520.52	1.74E-02
520.88	1.74E-02
521.24	1.74E-02
521.6	1.74E-02
521.96	1.74E-02
522.32	1.75E-02
522.68	1.75E-02
523.04	1.75E-02
523.4	1.75E-02
523.76	1.75E-02
524.12	1.75E-02
524.48	1.75E-02
524.84	1.75E-02
525.2	1.76E-02
525.56	1.76E-02
525.92	1.76E-02
526.28	1.76E-02
526.64	1.76E-02
527	1.76E-02
527.36	1.76E-02
527.72	1.77E-02
528.08	1.77E-02
528.44	1.77E-02
528.8	1.77E-02
529.16	1.77E-02
529.52	1.77E-02
529.88	1.77E-02
530.24	1.78E-02
530.6	1.78E-02
530.96	1.78E-02
531.32	1.78E-02
531.68	1.78E-02
532.04	1.78E-02
532.4	1.78E-02
532.76	1.79E-02
533.12	1.79E-02
533.48	1.79E-02
533.84	1.79E-02
534.2	1.79E-02
534.56	1.79E-02
534.92	1.79E-02
535.28	1.80E-02
535.64	1.80E-02
536	1.80E-02
536.36	1.80E-02
536.72	1.80E-02
537.08	1.80E-02
537.44	1.80E-02
537.8	1.81E-02
538.16	1.81E-02
538.52	1.81E-02
538.88	1.81E-02
539.24	1.81E-02
539.6	1.81E-02
539.96	1.82E-02
540.32	1.82E-02
540.68	1.82E-02
541.04	1.82E-02
541.4	1.82E-02
541.76	1.82E-02
542.12	1.82E-02
542.48	1.83E-02
542.84	1.83E-02
543.2	1.83E-02
543.56	1.83E-02
543.92	1.83E-02
544.28	1.83E-02
544.64	1.83E-02
545	1.84E-02
545.36	1.84E-02
545.72	1.84E-02
546.08	1.84E-02
546.44	1.84E-02
546.8	1.84E-02
547.16	1.85E-02
547.52	1.85E-02
547.88	1.85E-02
548.24	1.85E-02
548.6	1.85E-02
548.96	1.85E-02
549.32	1.85E-02
549.68	1.86E-02
550.05	1.86E-02
550.41	1.86E-02
550.77	1.86E-02
551.13	1.86E-02
551.49	1.86E-02
551.85	1.86E-02
552.21	1.87E-02
552.57	1.87E-02
552.93	1.87E-02
553.29	1.87E-02
553.65	1.87E-02
554.01	1.87E-02
554.37	1.88E-02
554.73	1.88E-02
555.09	1.88E-02
555.45	1.88E-02
555.81	1.88E-02
556.17	1.88E-02
556.53	1.89E-02
556.89	1.89E-02
557.25	1.89E-02
557.61	1.89E-02
557.97	1.89E-02
558.33	1.89E-02
558.69	1.89E-02
559.05	1.90E-02
559.41	1.90E-02
559.77	1.90E-02
560.13	1.90E-02
560.49	1.90E-02
560.85	1.90E-02
561.21	1.91E-02
561.57	1.91E-02
561.93	1.91E-02
562.29	1.91E-02
562.65	1.91E-02
563.01	1.91E-02
563.37	1.92E-02
563.73	1.92E-02
564.09	1.92E-02
564.45	1.92E-02
564.81	1.92E-02
565.17	1.92E-02
565.53	1.92E-02
565.89	1.93E-02
566.25	1.93E-02
566.61	1.93E-02
566.97	1.93E-02
567.33	1.93E-02
567.69	1.93E-02
568.05	1.94E-02
568.41	1.94E-02
568.77	1.94E-02
569.13	1.94E-02
569.49	1.94E-02
569.85	1.94E-02
570.21	1.95E-02
570.57	1.95E-02
570.93	1.95E-02
571.29	1.95E-02
571.65	1.95E-02
572.01	1.95E-02
572.37	1.96E-02
572.73	1.96E-02
573.09	1.96E-02
573.45	1.96E-02
573.81	1.96E-02
574.17	1.96E-02
574.53	1.97E-02
574.89	1.97E-02
575.25	1.97E-02
575.61	1.97E-02
575.97	1.97E-02
576.33	1.97E-02
576.69	1.98E-02
577.05	1.98E-02
577.41	1.98E-02
577.77	1.98E-02
578.13	1.98E-02
578.49	1.98E-02
578.85	1.99E-02
579.21	1.99E-02
579.57	1.99E-02
579.93	1.99E-02
580.29	1.99E-02
580.65	1.99E-02
581.01	2.00E-02
581.37	2.00E-02
581.73	2.00E-02
582.09	2.00E-02
582.45	2.00E-02
582.81	2.01E-02
583.17	2.01E-02
583.53	2.01E-02
583.89	2.01E-02
584.25	2.01E-02
584.61	2.01E-02
584.97	2.02E-02
585.33	2.02E-02
585.69	2.02E-02
586.05	2.02E-02
586.41	2.02E-02
586.77	2.02E-02
587.13	2.03E-02
587.49	2.03E-02
587.85	2.03E-02
588.21	2.03E-02
588.57	2.03E-02
588.93	2.04E-02
589.29	2.04E-02
589.65	2.04E-02
590.01	2.04E-02
590.37	2.04E-02
590.73	2.04E-02
591.09	2.05E-02
591.45	2.05E-02
591.81	2.05E-02
592.17	2.05E-02
592.53	2.05E-02
592.89	2.05E-02
593.25	2.06E-02
593.61	2.06E-02
593.97	2.06E-02
594.33	2.06E-02
594.69	2.06E-02
595.05	2.07E-02
595.41	2.07E-02
595.77	2.07E-02
596.13	2.07E-02
596.49	2.07E-02
596.85	2.07E-02
597.21	2.08E-02
597.57	2.08E-02
597.93	2.08E-02
598.29	2.08E-02
598.65	2.08E-02
599.01	2.09E-02
599.37	2.09E-02
599.73	2.09E-02
600.09	2.09E-02
600.45	2.09E-02
600.81	2.10E-02
601.17	2.10E-02
601.53	2.10E-02
601.89	2.10E-02
602.25	2.10E-02
602.61	2.10E-02
602.97	2.11E-02
603.33	2.11E-02
603.69	2.11E-02
604.05	2.11E-02
604.41	2.11E-02
604.77	2.12E-02
605.13	2.12E-02
605.49	2.12E-02
605.85	2.12E-02
606.21	2.12E-02
606.57	2.13E-02
606.93	2.13E-02
607.29	2.13E-02
607.65	2.13E-02
608.01	2.13E-02
608.37	2.13E-02
608.73	2.14E-02
609.09	2.14E-02
609.45	2.14E-02
609.81	2.14E-02
610.17	2.14E-02
610.53	2.15E-02
610.89	2.15E-02
611.25	2.15E-02
611.61	2.15E-02
611.97	2.15E-02
612.33	2.16E-02
612.69	2.16E-02
613.05	2.16E-02
613.41	2.16E-02
613.77	2.16E-02
614.13	2.17E-02
614.49	2.17E-02
614.85	2.17E-02
615.21	2.17E-02
615.57	2.17E-02
